block,site,date,time,sensor,HOBO_ID,tide_height,position,tidelevl,exposure,temperature
KEFJ,Aialik,2009-06-01,0:00,Aialik_0.5a,972455,0.5,a,1.69,water,8.615611111
KEFJ,Aialik,2009-06-01,0:30,Aialik_0.5a,972455,0.5,a,1.4,transition,8.528666667
KEFJ,Aialik,2009-06-01,1:00,Aialik_0.5a,972455,0.5,a,1.13,transition,8.381722222
KEFJ,Aialik,2009-06-01,1:30,Aialik_0.5a,972455,0.5,a,0.92,air/transition,8.194777778
KEFJ,Aialik,2009-06-01,2:00,Aialik_0.5a,972455,0.5,a,0.77,air/transition,7.909666667
KEFJ,Aialik,2009-06-01,2:30,Aialik_0.5a,972455,0.5,a,0.7,air/transition,7.559111111
KEFJ,Aialik,2009-06-01,3:00,Aialik_0.5a,972455,0.5,a,0.69,air/transition,7.433888889
KEFJ,Aialik,2009-06-01,3:30,Aialik_0.5a,972455,0.5,a,0.74,air/transition,7.458888889
KEFJ,Aialik,2009-06-01,4:00,Aialik_0.5a,972455,0.5,a,0.84,air/transition,7.716722222
KEFJ,Aialik,2009-06-01,4:30,Aialik_0.5a,972455,0.5,a,0.97,air/transition,8.129777778
KEFJ,Aialik,2009-06-01,5:00,Aialik_0.5a,972455,0.5,a,1.14,transition,8.384333333
KEFJ,Aialik,2009-06-01,5:30,Aialik_0.5a,972455,0.5,a,1.32,transition,8.533222222
KEFJ,Aialik,2009-06-01,6:00,Aialik_0.5a,972455,0.5,a,1.53,water,8.622777778
KEFJ,Aialik,2009-06-01,6:30,Aialik_0.5a,972455,0.5,a,1.72,water,8.672777778
KEFJ,Aialik,2009-06-01,7:00,Aialik_0.5a,972455,0.5,a,1.91,water,8.647777778
KEFJ,Aialik,2009-06-01,7:30,Aialik_0.5a,972455,0.5,a,2.09,water,8.572777778
KEFJ,Aialik,2009-06-01,8:00,Aialik_0.5a,972455,0.5,a,2.23,water,8.542777778
KEFJ,Aialik,2009-06-01,8:30,Aialik_0.5a,972455,0.5,a,2.33,water,8.542777778
KEFJ,Aialik,2009-06-01,9:00,Aialik_0.5a,972455,0.5,a,2.37,water,8.550277778
KEFJ,Aialik,2009-06-01,9:30,Aialik_0.5a,972455,0.5,a,2.35,water,8.562777778
KEFJ,Aialik,2009-06-01,10:00,Aialik_0.5a,972455,0.5,a,2.27,water,8.590277778
KEFJ,Aialik,2009-06-01,10:30,Aialik_0.5a,972455,0.5,a,2.13,water,8.627777778
KEFJ,Aialik,2009-06-01,11:00,Aialik_0.5a,972455,0.5,a,1.94,water,8.680111111
KEFJ,Aialik,2009-06-01,11:30,Aialik_0.5a,972455,0.5,a,1.7,water,8.742333333
KEFJ,Aialik,2009-06-01,12:00,Aialik_0.5a,972455,0.5,a,1.45,transition,8.804388889
KEFJ,Aialik,2009-06-01,12:30,Aialik_0.5a,972455,0.5,a,1.18,transition,8.866333333
KEFJ,Aialik,2009-06-01,13:00,Aialik_0.5a,972455,0.5,a,0.93,transition,9.024611111
KEFJ,Aialik,2009-06-01,13:30,Aialik_0.5a,972455,0.5,a,0.72,transition,9.247111111
KEFJ,Aialik,2009-06-01,14:00,Aialik_0.5a,972455,0.5,a,0.56,air/transition,10.18661111
KEFJ,Aialik,2009-06-01,14:30,Aialik_0.5a,972455,0.5,a,0.47,air/transition,11.60411111
KEFJ,Aialik,2009-06-01,15:00,Aialik_0.5a,972455,0.5,a,0.46,air/transition,12.21461111
KEFJ,Aialik,2009-06-01,15:30,Aialik_0.5a,972455,0.5,a,0.52,air/transition,12.28711111
KEFJ,Aialik,2009-06-01,16:00,Aialik_0.5a,972455,0.5,a,0.64,air/transition,11.47394444
KEFJ,Aialik,2009-06-01,16:30,Aialik_0.5a,972455,0.5,a,0.81,air/transition,10.07033333
KEFJ,Aialik,2009-06-01,17:00,Aialik_0.5a,972455,0.5,a,1.03,transition,9.434888889
KEFJ,Aialik,2009-06-01,17:30,Aialik_0.5a,972455,0.5,a,1.27,transition,9.311555555
